"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","骑电车睡大觉","什么时候让大家见见“奥托 玉足 阿波卡利斯”？","178","2024-05-09 12:00:28","220574388032","3493111976167578"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","大家的音乐机","【崩坏：星穹铁道-知更鸟全民制作人】活动上线了！！快来为知更鸟创作音乐成为她的制作人吧[打call]~活动传送门👉：https://www.bilibili.com/blackboard/era/w6oKCRZeuJ19Tfu2.html","4345","2024-05-09 12:17:28","220576928848","32708543"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","_夜雨声煩_","主唱知更鸟太拼命了","164","2024-05-09 12:02:15","220574722992","77207087"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","一节骨头","我算是发现了，四星角色比五星角色危险多了[笑哭]","2113","2024-05-09 12:01:03","220574654992","29624976"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","用心胜天半子","别伤心，开拓者们，米沙没有离开列车，他不是在你的帽子里吗[doge]","1431","2024-05-09 12:00:36","220574475376","510862511"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","胡闹的小明","这个mv里只有三个角色，三个都是各自文明的遗孤[笑哭]","766","2024-05-09 12:12:21","220576198176","260690163"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","祈鸢ル","太喜欢知更鸟小姐了，写了一点作为纪念[大哭]     路费要攒半个月，其他费用半个月，嗯，还可以接受，不会影响到吃饭。欸，哪怕知更鸟小姐免费演出，去一次还是要花费不少。     或许都是这样吧，但这是离知更鸟小姐最近的一次，一定不能错过。     方形的房子，方形的车子，方形的公司，方形的办公桌。。。生活在方形的牢笼了，太过黑暗。     或许还是有色彩的，那就是听到知更鸟小姐的声音。她的声音，轻快，甜蜜，带有希望，为我的生活照进一束光。     而现在，她正站在舞台上，三，二，一，灯光突然凝聚，照亮舞台上的知更鸟小姐，清脆的歌声响彻现场。激昂，欢乐，幸福的血液在心中流淌，这就是知更鸟小姐的魅力啊！     只是，太闪耀了。    “这位先生，您有什么心事吗，我注意到好几次，您的表情不是很自然。”一位戴着假发和眼镜的女士问到。     天呐，是知更鸟小姐，演出结束之后居然还能碰到她，是巧合吗，但是她还关注了我的表情。我快速的看看周围，并没有被别人发现，再看着她的脸，我更说不出话了。     “我明白了，先生。愿您的生活充满希望与动力，愿您的努力得到相应的回报。愿您可以像鸟儿一样自由飞翔。先生，希望我的歌声可以给你带来安宁。”     正是为了生活中像知更鸟小姐一样的美好，我们才努力生活，不是吗？     入夜了，我梦到了一个不是方形的房子，一个不是方形的花园，有蝴蝶有飞鸟，以及，一位带着白手套的姑娘，那是属于我的那一位她。     但是我不会沉眠，因为生活还要继续，梦想也会在某一天变成现实。","50","2024-05-09 23:23:04","220669196864","342930631"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","゙゙゙慵懒逐浪","活动光锥的简介也好让人难过[大哭]那天也是帕姆和三位传奇无名客的最后一面","222","2024-05-09 14:18:48","220592868768","3050594"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","十六゚","不   死    鸟","26","2024-06-14 21:20:06","226325155920","2085300190"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","法师塔","一人许愿，希望可以把这个做成人工桌面里的动态壁纸！@崩坏星穹铁道","177","2024-05-09 13:05:29","220584253120","6189174"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","懒得换头像和名字","消除一个生命的痛苦， 平息一种酸辛， 帮助一只昏厥的鸟儿回到巢中。  《使一颗心免于哀伤》 作曲 Composer：王可鑫 Eli.W (HOYO-MiX) 作词 Lyricist：黑金雨 编曲 Arranger：王可鑫 Eli.W (HOYO-MiX) 制作人 Producer：王可鑫 Eli.W (HOYO-MiX) 人声 Vocal Artist：Chevy 木吉他 Acoustic Guitar：赵新博 电吉他 Electric Guitar：赵新博 架子鼓 Drums：眭逸凡Patrick 乐队 Orchestra：国际首席爱乐乐团 International Master Philharmonic Orchestra 人声录音棚 Vocal Recording Studio：The Hideout Recording Studio 人声录音师 Vocal Recording Engineer：Luis Pacheco 乐器录音棚 Instrumental Recording Studio：升赫录音棚Soundhub Studio/九紫天诚录音棚 SKY FIRE STUDIO 乐器录音师 Instrumental Recording Engineer：Kevin刘瀚文@Soundhub Studios/董方昱 混音师 Mixing Engineer：宫奇Gon (HOYO-MiX) 母带制作 Mastering Engineer：宫奇Gon (HOYO-MiX) 出品 Produced by：HOYO-MiX","46","2024-05-09 12:00:30","220574470320","553775400"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","米游姬派蒙","最终BOSS真的太强了，没想到景元都打不过，多亏危急关头青雀升格为麻将星神，在雀神伟力下，匹诺康尼变成宇宙的麻将之都了，知更鸟还为麻将盛典献唱了《使一个麻将免于胡牌》，真是温暖人心的大结局","427","2024-05-09 12:00:37","220574480928","84675700"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","百里里里里里梨","剧情的真相是这样的广场上那个巨大的屏幕是黑天鹅用卡牌砍的，然后黄泉召唤出何物朝向死亡带我们去了固醒地，知更鸟兄妹其实原来是钟表匠养的2只鸟，在钟表匠死后被加拉赫送给了梦主，知更鸟想要用歌声召唤同协，被星期日阻止因为星期日信奉的是秩序，最后主角就拿到了钟表匠的遗产开启了大招伴舞，波波鲨一个超击破打碎了整个匹诺康尼","785","2024-05-09 12:03:04","220574764960","440131505"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","Haz_Studio单推人3号","我是知更鸟小姐的狗！！！（震声","24","2024-05-09 12:01:06","220574582064","3461563486833594"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","垃圾星神","大家多关注关注ep讲的三个角色的悲伤故事，和他/她们不甘于命运的斗争，别再无脑刷主唱和纠结是谁的曲子了[大哭][大哭]","573","2024-05-09 12:30:52","220578957648","542447044"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","琳妮登登特","其实米哈伊尔一直在蒙德呢[笑哭]","49","2024-05-10 19:38:17","220786413328","23629170"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","睡小觉_","到我了到我了！我也要那个","30","2024-05-09 12:00:38","220574481856","401926164"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","芦花飞漫天舞","告诉银枝，我找到伊德莉拉了","13","2024-05-09 14:36:45","220594891632","319751964"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","BestPaimon","凌晨， 做完匹诺康尼的剧情后，睡去，做了一个很长很长的梦 梦里，和三个同伴一起远足，出发前还带着家人的祝福，在旅途中偶遇了以前因为闹矛盾而失去联系的朋友，还在中途休息时，见到了去世的外婆。太美好了，美好得不真实。 在梦中进行的冒险时，我就一直在想，会不会耽误现实中第二天下午的课程，而且梦里的破绽越来越多，一个晚上的长途跋涉，怎么能从学校走到千里外的老家，到外婆家里呢？ 在紧张和担忧中，我突然醒来，梦中的一切都轰然倒塌，我开始做下午课程的准备，在现实中，带着梦境的祝福，迈出下一步。 生命因何而选择沉睡？因为，总有一天，我们会从梦中醒来。","229","2024-05-09 12:00:56","220574495088","294775260"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","阿皓饱了_","官方竟然做了这张二创图耶[星星眼][星星眼][星星眼]","33","2024-05-11 12:17:12","220887148112","526141025"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","不爱的我不理","[脱单doge]我是五月九","26","2024-05-09 12:01:47","220574533072","11289553"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","烛昼゙","来了","41","2024-05-09 12:00:24","220574465360","1403483675"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","婆妈神orca","[嘘声]我现在是不是掉进太一之梦了","25","2024-05-09 18:33:44","220624008288","1812105"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","谕十三","今天的崩坏系列！是无敌的！[以闪亮之名_爱你哦][以闪亮之名_爱你哦][以闪亮之名_爱你哦]","11","2024-05-10 21:28:00","220803372048","11346527"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","等琪亚娜回家","到我了，到我了，各位开括者可以和我说那个吗，祝大家小保底不歪","14","2024-05-09 12:01:08","220574504800","3461582222788897"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","千树优奈","这还纠结这首歌是谁的，这首歌是属于米哈游的","8689","2024-05-09 12:34:06","220579479776","41112142"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","玩水人就得波高","我鸟味大，无需多盐[给心心]","20","2024-05-10 17:42:40","220768768848","266796401"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","迈向没有你的明天","卧槽，大佬，来一张动态壁纸。","11","2024-05-09 22:48:05","220663399712","79539751"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","玉山碧落谁看东风","00:51 能把这张图单独放出来嘛，求求你了星穹铁道😭😭😭","46","2024-05-09 12:05:36","220575113856","351718733"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","柠爆你奔周","牢日:“你知道的，梦主是我的养父，太一那家伙强得不可思议，我认为我们仨能够在匹诺康尼大有所为，有时候做出决定很艰难，经过许多个日夜的思考，我决定把「秩序」带到匹诺康尼，我已经迫不及待地想要当上「秩序」的令使了。至于「同谐」希佩，我只能祝祂好运。”","60","2024-05-09 12:00:36","220574319600","352712229"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","残花晓月","收不到祝福的我有点哀伤[崩坏：星穹铁道_心]","28","2024-05-09 12:37:15","220580081168","2660585"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","WYX2023xm","上班族社畜，每天就六点多下班，吃完晚饭之后的两个多小时有空过主线剧情了，还得两三天慢慢做[热]","53","2024-05-09 12:02:07","220574547344","294099923"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","祝福降临埃维金","到这句的时候快速闪过芽衣砂金流荧的过去，天杀的我爆哭啊啊啊[保卫萝卜_哭哭][保卫萝卜_哭哭][大哭][大哭][大哭]米哈游你好会剪","12","2024-05-09 12:20:51","220577535024","421790826"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","南山没有伞-","弹幕拉踩男女主问题的，真是逆天啊，拳都打到这来了","22","2024-05-12 13:43:56","221067580240","1700476222"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","散木鳴雁","感觉认真过完2.2剧情的人，应该也不会还觉得这首歌是谁谁谁专属了吧，说这是匹诺康尼所有选择自己道路、勇敢生活的人共同的主旋律也不为过。包括本ep剪辑进去的几位，包括流梦礁的那个老奶奶教几位现实残疾小朋友唱歌和那位哼唱的歌者（其实可以作为流梦礁精神一角的体现），甚至我说在结束后知更鸟拥抱星期日时也配上一段，那也合适的不得了。2.0-2.2这么长时间的优秀塑造，到头来还在争执一首歌属于谁，是对所有角色的不尊重。感觉就像某些乐土剧情都没看过就逮着爱莉希雅喊“爱门”的人一样，纯小鬼。 （不过吵架的没看见，劝架的倒不少，有感而发，如影响观感请多包涵）[崩坏3·终焉归始_自闭]","14","2024-05-09 13:26:48","220587127696","27080988"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","葡萄酸柠檬甜","今天到我了！可不可以听到那一句[星星眼][星星眼]","10","2024-05-09 12:11:57","220576178752","490860958"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","全能v欣群","消除一个生命的痛苦， 平息一种酸辛， 帮助一只昏厥的鸟儿回到巢中。  《使一颗心免于哀伤》 作曲 Composer：王可鑫 Eli.W (HOYO-MiX) 作词 Lyricist：黑金雨 编曲 Arranger：王可鑫 Eli.W (HOYO-MiX) 制作人 Producer：王可鑫 Eli.W (HOYO-MiX) 人声 Vocal Artist：Chevy 木吉他 Acoustic Guitar：赵新博 电吉他 Electric Guitar：赵新博 架子鼓 Drums：眭逸凡Patrick 乐队 Orchestra：国际首席爱乐乐团 International Master Philharmonic Orchestra 人声录音棚 Vocal Recording Studio：The Hideout Recording Studio 人声录音师 Vocal Recording Engineer：Luis Pacheco 乐器录音棚 Instrumental Recording Studio：升赫录音棚Soundhub Studio/九紫天诚录音棚 SKY FIRE STUDIO 乐器录音师 Instrumental Recording Engineer：Kevin刘瀚文@Soundhub Studios/董方昱 混音师 Mixing Engineer：宫奇Gon (HOYO-MiX) 母带制作 Mastering Engineer：宫奇Gon (HOYO-MiX) 出品 Produced by：HOYO-MiX","60","2024-05-09 12:00:49","220574489840","1215734830"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","卡琳倒车入库","不行，我听不得这个[大哭][大哭][大哭]","13","2024-05-09 12:01:19","220574667920","522601932"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","東青FuFu","00:52 这张适合做壁纸","9","2024-05-19 19:04:13","222212686368","1442128547"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","十香seirei","虽然但是，9连歪","9","2024-05-11 11:24:05","220879609360","34760910"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","结城明日奈","烧鸡老师能不能写一辈子崩铁剧本 求求了，大家什么都会做的[黎歌Neeko_打call]","20","2024-05-10 07:24:17","220697631984","4307"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","伯克洛普特","该我了该我了！[星星眼][星星眼][星星眼]想要那个[doge][doge][doge]","9","2024-05-09 14:32:31","220594486144","519896729"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","林间流萤飞","今天到我了帕，大家祝我高考成功可以吗[脸红]","14","2024-05-10 09:17:39","220706599472","1295494376"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","___希___","想回坑了，孩子们，我的希儿还强吗[星星眼]","12","2024-05-31 18:38:44","224049072736","521581311"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","水帝ykls","二次元从何时失去灵魂？ 从何时开始靠擦边苟延残喘？从何时失去了具有生命力，灵魂共鸣的描绘能力？ 九十年代日本动漫的心气儿和愿景，在三十年后被海对面的一群技术宅接过衣钵。","18","2024-05-09 21:14:36","220648263040","95253953"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","九曲歌未尽","眠眠是宰人巴士我真的笑死了","12","2024-05-09 12:13:15","220576334848","401894910"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","好像就不好","使一颗心免于哀伤。哪一颗心？ 每一颗心。 黄泉的过往，砂金的童年，流萤的遭遇，星期日的独自背负一切。 还有加拉赫，三位老开拓者。 最后还有全局最冤枉的角色---眠眠。眠眠不哭[喜极而泣] 大伙都有份[给心心][给心心][给心心] 但是刷流萤专属要么逆天要么串[辣眼睛][辣眼睛][辣眼睛]","16","2024-05-11 13:58:04","220902139376","1907106966"
"《崩坏：星穹铁道》EP：「使一颗心免于哀伤」","BV15x4y1i7m9","1004375259","崩坏星穹铁道","2024-05-09 12:00:00","宵宫宝藏女孩","2.0听这首歌只想到了流萤，这版本剧情结束听想起了米沙，加拉赫，铁尔南他们[大哭][大哭][大哭]","15","2024-05-09 12:03:02","220574763424","510797879"
