"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》OP：「不眠之夜」","BV1me411n7eu","241638384","崩坏星穹铁道","2024-01-26 20:00:00","大家的音乐机","《不眠之夜》音舞二创活动也同步开启啦！期待大家的花式二创内容[打call][打call][打call] 👉活动传送门：https://www.bilibili.com/blackboard/activity-o5DxbzfXV6.html","35829","2024-01-26 20:21:54","204960846224","32708543"
"《崩坏：星穹铁道》OP：「不眠之夜」","BV1me411n7eu","241638384","崩坏星穹铁道","2024-01-26 20:00:00","吾羊話二麟","为什么在这个所有人都又帅又美的op里，星期日像个刚刚加了两天班才下班的社畜一样[笑哭][笑哭]","18738","2024-01-26 20:48:07","204965213728","15157748"
"《崩坏：星穹铁道》OP：「不眠之夜」","BV1me411n7eu","241638384","崩坏星穹铁道","2024-01-26 20:00:00","不喜欢下雨的云","本以为是歌难所以选了杰哥，看了mlog才知道是这位牛人自己给自己加的难度","7003","2024-01-31 21:49:12","205758753520","395089838"
"《崩坏：星穹铁道》OP：「不眠之夜」","BV1me411n7eu","241638384","崩坏星穹铁道","2024-01-26 20:00:00","骷髅骑士没有马","给萌新们提醒一下，烧鸡老师越说安全就越不能信，你们没发现他一直在强调安全吗？[doge]","2280","2024-01-26 20:35:49","204963209568","28622578"
"《崩坏：星穹铁道》OP：「不眠之夜」","BV1me411n7eu","241638384","崩坏星穹铁道","2024-01-26 20:00:00","艾莉丝・エリス","烧鸡: 给不玩崩三的玩家们一点小小的崩坏震撼  《阳光积极向上》","2503","2024-01-26 20:19:50","204960651024","396059890"
"《崩坏：星穹铁道》OP：「不眠之夜」","BV1me411n7eu","241638384","崩坏星穹铁道","2024-01-26 20:00:00","岁月静好但不饶人","前几个月还有8u说烧鸡老师已经离职了[思考]，回旋镖有点慢啊[吃瓜]","2887","2024-01-26 20:29:19","204962100224","649183314"
"《崩坏：星穹铁道》OP：「不眠之夜」","BV1me411n7eu","241638384","崩坏星穹铁道","2024-01-26 20:00:00","坡亚","其实四国歌词都已经把剧情都剧透完了吧。 中文版是故事的开始，爷的视角对流萤的话语。“时间在静候你醒来”，“别再破碎，别再枯萎”，爷想让流萤享受梦境，“是是非非，别再意会”。 英语版相对中文版更换了视角，是流萤视角对爷的告白，内心不断重复呼唤：“快拯救我，带我走吧”。 韩语版是剧情高潮部分，少女燃烧自己选择成为英雄：“绽放我的宇宙”，“今夜我是自己的英雄”，用一句话来概括就是“只要是为了你，我就无所不能”。 日语版更像是梦醒时分一切完结，那如萤火般短暂光辉而又消逝的女孩只留下一句“让我们明天也在梦里相会”，随后就“在这梦境中长眠不醒”。","7752","2024-01-27 08:27:42","205021521504","1114863532"
"《崩坏：星穹铁道》OP：「不眠之夜」","BV1me411n7eu","241638384","崩坏星穹铁道","2024-01-26 20:00:00","时城の旧巷","阿b不压热度现在已经到1000w了，中间看见播放量下了好几次[笑哭][笑哭]","3578","2024-01-29 20:09:15","205423424528","391089358"
"《崩坏：星穹铁道》OP：「不眠之夜」","BV1me411n7eu","241638384","崩坏星穹铁道","2024-01-26 20:00:00","大梦一场的流萤酱","求求你们别把流萤刀死就行了[墨镜]","2779","2024-01-26 20:27:01","204961595408","513821835"
"《崩坏：星穹铁道》OP：「不眠之夜」","BV1me411n7eu","241638384","崩坏星穹铁道","2024-01-26 20:00:00","桜火虫之森","咳咳，完整的曲子后面还有内容，英文版后面的翻译是 今夜我不想再独自徘徊，快带领我前往另一边的世界， 自己也不再有任何失去的人，只需净身前往那一边的世界， 今夜我不想再独自徘徊，人们在还是在我的伪装下更熟知我， 没人需要知道真相，让我在你的谎言里永远狂欢 中文版后面是 （伏笔没解开 悬念还在）时间在静候你醒来 别再破碎，别再枯萎，继续沉醉，自我迂回 最后品味，永恒的滋味， 来一场不眠之夜，作结尾 越要快乐，越要破溃，是是非非，别在意会 忘记时间，来梦的派对 来一场不眠之夜，作结尾","3522","2024-01-27 02:15:50","205008684624","676281984"
