"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","这里没有羊驼","在现场[辣眼睛]也没人告诉我说要喷彩带，打call的时候直接喷我一嘴","287","2024-05-06 16:10:14","220165831104","11275201"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","楚轩灵","我嘞个AI字幕啊[笑哭]","249","2024-05-06 12:42:51","220142995680","456860947"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","亚麻大甘茶喵柑饼","太棒啦！","212","2024-05-06 14:37:23","220156556304","106431355"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","厦门胡歌","做得好，有奖励[墨镜]","155","2024-05-06 13:04:05","220146160608","26746557"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","剑与吾王同在","观看指南[给心心] 00:01~04:29卡芙卡 04:34~08:48三月七 08:56~12:08星间旅行 12:19~13:32姬子 15:36~18:27银狼和末日兽 18:27~20:18托帕 24:16~27:42踏上旅行 33:32~34:59希儿 35:07~37:34说唱 41:12~44:59野火 49:54~54:02水龙吟 57:04~58:47镜流 58:47~1:01:04刃 1:07:01~1:08:59尾巴大爷 1:09:23~1:17:38幻胧 1:17:51~1:20:35景元 1:21:12~1:24:24滑稽之骨 1:24:24~1:28:29致暗淡星 1:33:58~1:37:21使一颗心免于哀伤 1:37:21~1:40:29在银河中孤独摇摆 1:43:02~1:45:08萨姆 1:45:08~1:47:43花火 1:48:08~1:51:12不眠之夜 1:53:37~1:58:09星神 最后祝各位开拓者一周年快乐！","1354","2024-05-06 12:43:32","220143028432","675564061"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","尾翼稳定回旋穿甲狗","记录优素老师的电眼逼人[喜极而泣]","62","2024-05-06 20:14:34","220198387760","284441076"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","十分甚至九分好评","你怎么还在……不对，你怎么才来？","104","2024-05-06 12:00:46","220136916224","252053163"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","雾影热爱学习","现场怪来啦，非常惊喜非常喜欢的一台音乐会，虚拟投影，垃圾桶舞团，舞狮舞剑顶盘子，现场水龙吟，现场的一颗心免于哀伤，灯光舞美编排每一项效果都特别特别好。大屏幕几乎没有放过游戏原切片，全部都是结合灯光舞台重新剪辑的，太用心了[脱单doge]结束的时候全场还一起喊了好多遍愿此行终抵群星，不知道录播里有没有消掉，还没看到那 最大的缺点是明年你能不能开八场啊，你知不知道为了抢这张票我有多拼命[大哭]","3455","2024-05-06 12:56:45","220145040688","11914259"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","眼睛腿儿","今年难得有机会我抢了两张票和我妈一起去的，我玩的很嗨妈妈也玩的很嗨，两个人出来嗓子都哑了哈哈哈哈，妈妈还帮我录了水龙吟和刃的全程！！晚上回到家她还一直在看水龙吟的录像说这个好这个好哈哈哈哈。 还有当时那个哥们喊我是流萤的狗的时候，我妈迅速问我：他喊的什么？ 我：[辣眼睛]嗯……这个……没法给你解释…… 我妈：哦好那我懂了[OK]  等等你懂了什么啊？？？","311","2024-05-06 12:23:04","220139974960","7011700"
"《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版","BV1ZH4y1V7AE","1054074499","崩坏星穹铁道","2024-05-06 12:00:00","冷门牢囚绝活手法玩家","演唱会结束后广播里说应援棒要统一回收。我撕心裂肺地大喊:“凭什么要夺走我的球棒！规则就是用来打破的！我要带回家我要带回家我要带回家！”旁边的人跟我说这个可以带回家的，不要这么老实，于是我就带走了，，现在想来真是个明智的决定，超喜欢这个球棒的说！ （我发到的立牌是砂金，正好是自己喜欢的。演唱会开始前大家都在交换成自己想要的，不过没什么人像原神音乐会上那样喊话，可能崩铁玩家比较内向？）","23","2024-05-07 21:54:37","220359185584","1034343783"
