"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","奶茶☆","乱破知道先扔闪 再进点 讲究","4050","2024-10-21 14:37:46","244899246705","777964"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","宵宵宵宵宵宵宵宵宵乐","为什么帕姆会把《崩坏：星穹铁道》改名成《崩坏：星穹铁蕉》？因为列车也算是一种“蕉”通工具[妙啊]","7367","2024-10-21 12:25:20","244891063169","471637483"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","巴丝特","我已经没法评价pv质量了，每个都是精品，一次更比一次好，就是很得心应手的那种优秀","7703","2024-10-21 12:38:58","244892106321","521975057"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","磁爆步兵54","南无三！何等激烈的Rappa！想必拥有忍者听力的各位一定享受到歌曲的美妙了罢！ 唔！刚刚吃下去的超有机·丰满油脂的鱼丸难道有问题！ 眼前出现了fantasy！渊上和桑博正在调配燃油饮？ 可恶啊，可恶的空洞，不许放歌↗↘→ 空间快爆炸，好想玩原神～云原神！ 柏妮斯，柏妮斯，柏尼斯，柏妮斯gogogo 啊~这灼热的真理~TeriTeri~ 进度软趴趴，好想玩原神～云原神！ 长满，燃油饮的小岛，蕉蕉 哒哒哒想玩原神云原神，TeriTeri~ 睡觉小猴真是好，柏尼斯go 吃完炽热的谏言就睡觉，蕉蕉 薇塔大人ᐠ( ᑒ )ᐟ 薇塔大人ᐠ( ᑒ )ᐟ 花火大人ᐠ( ᑒ )ᐟ 花火大人ᐠ( ᑒ )ᐟ","435","2024-10-21 12:00:23","245118149872","3443416"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","芙卡洛斯-枫丹水神","如果乱破碰到了流萤会发生非常可怕的事情。 因为乱破会称呼流萤为火萤忍者。","5106","2024-10-25 19:54:04","245204348913","1510422184"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","巧明哦","终于画完了😌 你们说我能抽到她吗[星星眼][星星眼]","170","2024-10-23 21:37:32","245068205105","3493078344141481"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","绳斤小生姜","共用素材库是吧？打碟都要一起？[吃瓜]","15","2024-10-21 12:04:27","244889522449","2049172691"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","Oo柒柒柒oO","绝区零:我要尝试跟姐姐们不一样的全新曲风 崩三:拿来吧你 原神:拿来吧你 星铁:拿来吧你 绝区零:...","18062","2024-10-21 19:14:41","245146622832","4526201"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","鱿鱼炖铁板","都做成这样了，还不弄个游戏出来给我玩😡 我看你这ping有点不稳定，你这样，搞个本地版给我，我来给你测测","1141","2024-10-21 12:10:12","244889829217","4832659"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","金角大王想吃肉","乱破那个第一视角看着像手柄的转视角，看着很晕","13","2024-10-21 12:51:30","245122331520","472065727"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","正在学习的宝的妹妹","这下不得不抽乱破了[doge_金箍][星星眼]","13","2024-10-21 22:52:08","244932579041","1501725676"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","夜半霜满天","妈的，这视频指定掺了冰！","11","2024-10-21 12:31:30","244891506657","248333061"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","故渊215","等等，你怎么把头像也换了啊[黎歌Neeko_巢窝]","12","2024-10-21 13:21:32","245124361648","28577122"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","菜菜捞捞米","像，太像了。简直一模一样。","296","2024-10-21 14:12:14","244897828385","1835315284"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","超越zx","四国语言，指开头小猴的呼噜声的差别[笑哭]","9003","2024-10-21 12:51:02","244893052897","12067664"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","chlaslas","《崩坏：星穹铁道》乱破角色PV——「不乱不破」（罗马音+原歌词+翻译） - HOYO-MiX/Reol (れをる) 作曲 Composer：崔瀚普TSAR...","6","2024-10-21 22:36:29","245162525904","1138003142"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","小枫叶风","来晚了[脱单doge]","40","2024-10-26 21:53:41","245293066401","1132480390"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","箫事","此事在雷女士演唱会亦有记载","156","2024-10-21 22:48:59","245163478880","1407234"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","タカト0207","米哈游真是有钱了啊，这pv质量是越来越高了，我都不敢想2.7的孙答应（sunday）和王贵人的pv质量得多高了[doge][OK][吃瓜]","3835","2024-10-21 12:07:01","244889660177","91640486"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","L_Occas","感觉最近原铁绝一个画风[笑哭] 涂鸦+潮酷+电音","7760","2024-10-21 18:15:12","245142091856","2068418"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","迪迪吖吖","实锤了 乱破开透视挂[生气][生气][生气]","247","2024-10-21 12:28:31","245120487664","66949528"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","AzureHead","很荣幸担任了「不乱不破」的词作，非常荣幸与偶像Reol合作！[鼓掌]乱破之道贯彻到底，wake me up⚡️⚡️","2146","2024-10-21 12:21:54","244890763665","1275211697"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","bili_49461456307","有框你不打？","7","2024-10-22 07:10:28","245179700288","442754822"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","要秃了呀崽","要求不高，下次请米津玄师 宇多田光 玉置浩二 vaundy ado 老匹 爹扣 王牛 刺头麻油 女王蜂 凛冽时雨 东京事变 藤井风 优里 back number 玉置浩二 YOSOBI 绿苹果 这些小众歌手就行[doge]","2010","2024-10-21 12:02:27","245118365568","518846901"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","小_漩","带框的都知道打了闪再拉，我的队友都不知道[辣眼睛]","9","2024-10-22 15:56:51","244974450001","41332380"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","符合FVR看","所以为什么连官方头像都换了啊[辣眼睛]","9","2024-10-21 19:16:40","244916496625","1690796964"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","谁坑谁","虽然不懂唱了什么，但感觉这个歌手唱功强得乱七八糟的[妙啊]","2846","2024-10-21 21:34:50","245157610336","4850013"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","灰仔呀灰仔","头像换了，不要啊我的三月七，我的赵相机","9","2024-10-21 15:24:17","245131295056","399665542"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","信秩序命途享七休人生","宝了个贝的你们巡海游侠是真的帅 乱破和波波都太帅了[大哭]","49","2024-10-23 21:24:15","245067250977","380500559"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","什么时候能吃饭啊呜","对面猴子是入机吧？会不会玩[doge][doge][doge]","8","2024-10-21 18:21:36","245142643808","80215206"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","A-time-","话说官方头像变成乱破了耶[星星眼]","8","2024-10-21 19:31:23","245147960640","1401889142"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","月影照清风","剧情真的好……过完直接爱上乱破了","25","2024-10-30 00:03:07","245802489136","388302825"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","小小小棺材","昨天崩铁被猴子入侵！换成了猴子头像， 今天乱破救场！换回乱破头像。很(๑•̀ㅂ•́)و✧  细节而且这个PV也是救场PV  你们看懂了么？","11310","2024-10-21 13:20:28","244895062305","32322988"
"《崩坏：星穹铁道》乱破角色PV——「不乱不破」","BV1yyC1YQEpk","113327963376490","崩坏星穹铁道","2024-10-21 12:00:00","是灵系啊","给我干哪里了，这还是崩铁吗？这是绝区零吗？","7","2024-10-21 19:42:12","245148828432","1552865822"
