"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","蕾米莉呀","你已经学会扳机社的精髓了，现在让我们来做一部新的原创动画吧","6978","2024-10-18 18:00:17","244888758768","431098431"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","川水莉佳","已经有厨子发力了！[打call]","93","2024-10-19 15:15:11","244963205216","1355128104"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","上官序","椒丘：今天的视频也和昨天一样好看呢。","352","2024-10-18 12:07:27","244864879488","73807100"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","起什么昵称好呢喵","隔壁zzz的画风只是看起来像，但是这个动画和吊带袜天使根本就是同一个画风好吧，说是它工作室做的我都信[笑哭][笑哭]","11910","2024-10-18 12:12:58","244865416832","504334319"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","PSSF23","博识尊选原始博士当天才绝对是溜大了~","9366","2024-10-18 12:11:42","244865381120","18895629"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","飞天鱿鱼大旋转","不是说乱破的认知方式与普通人不一样吗？根据原始博士和巡海游侠的关系，这里乱破的认知方式不同应该是为了防止被猴子影响吧，可能有刀","7443","2024-10-18 12:55:25","244868932480","604901113"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","黑兔砸","米哈游从Eva中二忧郁少年毕业到扳机社了","1612","2024-10-18 18:08:17","244671195585","14165462"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","不见苍龙","这画风好熟悉的感觉[笑哭]在哪看过来着，考虑到云璃动画有非人哉工作室加入，这次应该也是哪个动作工作室加入制作的吧[笑哭]","6322","2024-10-18 12:06:34","244864995776","399860640"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","青衣染皂韵","原来强的乱七八糟是这个意思啊","193","2024-10-18 12:39:28","244867701296","589643944"
"《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」","BV13pyPYSEar","113320749174529","崩坏星穹铁道","2024-10-18 12:00:00","我只是路过的NPC","画风像吊带袜天使 色彩像普罗米亚 报登场名之前那段像是忍者杀手的午时三刻 反派变身像天元突破变萝卜 还有忍杀的经典：咏诵俳句吧! 最后的斩杀镜头像斩服少女 好家伙番看少一点都看不出","14189","2024-10-18 13:03:36","244869689936","433891638"
