"视频标题","视频BV号","视频AV号","作者","发布时间","评论用户名","评论内容","点赞数","评论时间","评论ID","用户ID"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","大家的音乐机","【崩坏：星穹铁道-知更鸟全民制作人】活动上线了！！快来为知更鸟创作音乐成为她的制作人吧[打call]~活动传送门👉：https://www.bilibili.com/blackboard/era/w6oKCRZeuJ19Tfu2.html","5309","2024-05-08 15:03:50","220449182560","32708543"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","咩絮","导演：星期日 摄影：星期日 周日哥你[doge]","933","2024-05-07 13:57:39","220296850656","353274538"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","某不知名的替身使者-_","“我要做知更鸟小姐的狗”","1116","2024-05-07 13:18:16","220292410064","431696028"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","平凡上校","00:19化成灰我都认得这三个图标[笑哭]","622","2024-05-07 12:19:49","220283653584","114359776"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","Gsin果森","有车票诶，是开拓者吗","548","2024-05-07 12:22:56","220284134960","1049405438"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","Yu酱超努力","能碰这个环的也就只有星期日了[喜极而泣]","465","2024-05-07 14:40:03","220301183488","2763274"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","天翼3G真是太快喇","角色PV（✘） 《空气蛹》专辑先行MV（✔）","2081","2024-05-07 12:03:45","220281320720","383187115"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","-向阳四叶草-","看到叽米我们就知道即将更新（前瞻直播）或者版本已更新（走进星穹），这何尝又不是一种知更鸟？[doge]","755","2024-05-07 12:00:19","220280798800","1336993561"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","WYX2023xm","今晚八点半，知更鸟的个人慢直播即将在@帕姆的收藏夹 开启，欢迎收看[妙啊]","726","2024-05-07 12:00:29","220280966176","294099923"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","山吹日暮","小彩蛋：周日哥是导演摄像[笑哭]","200","2024-05-07 12:45:45","220287774832","251604561"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","客服大V","在银河中孤独摇摆，能否使一颗心免于哀伤？  若我不曾见过太阳，又怎会知道希望有羽毛和翅膀？","519","2024-05-07 12:01:19","220280952704","515154670"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","Ander-K","好好好， 这么玩是吧","114","2024-05-07 12:20:33","220283743440","385600596"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","麋失鹿","I CAN BE MISS ROBIN'S LAPDOG!!!!!![喜欢][喜欢][喜欢][喜欢][喜欢]","66","2024-05-07 12:07:28","220281839920","66708240"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","FREETII","我发布了一篇笔记，快来看看吧~","99","2024-05-07 12:41:04","220286991584","401118201"
"《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」","BV1Am411y7iK","1904093475","崩坏星穹铁道","2024-05-07 12:00:00","不屈飞鱼明武宗朱厚照","这图，还是看一次笑一次[滑稽]","113","2024-05-07 12:25:35","220284514032","13843103"
