视频标题,视频BV号,弹幕出现时间,类型,字体大小,颜色,发送时间,弹幕池,用户哈希,弹幕ID,弹幕内容
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,17.047,5,25,16777215,2024-01-26 20:25:59,0,d2098968,1503077156589583872,官方mmd哈哈哈哈
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,21.074,5,25,15138834,2024-01-26 20:02:14,0,cf35da28,1503065196649199360,wc开口脆
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,49.259,1,25,16777215,2024-01-26 20:28:33,0,5712bf2d,1503078445171661568,天降（物理）
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,29.67,5,25,16707842,2024-01-26 20:02:41,0,f446a221,1503065425884471296,坐忘道
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,58.469,5,25,16646914,2024-01-26 20:18:21,0,1461b924,1503073308575460096,张杰声音可塑性呜呜呜
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,62.952,1,25,16777215,2024-01-26 20:12:35,0,b8972187,1503070408323422464,欢迎来到，支配剧场（不是
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,92.723,1,25,16777215,2024-01-26 20:03:48,0,95753c3b,1503065986101106944,承包空屏
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,17.351,5,25,41194,2024-01-26 20:01:37,0,a820e9b0,1503064885758940672,海澜之家
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,64.83,5,25,16707842,2024-01-26 20:02:22,0,46369647,1503065263069797632,永远很小一只但是超级帅的老杨叔！！
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,15.891,5,25,41194,2024-01-26 20:03:21,0,82d9c73c,1503065763358232576,一年逛三次海澜之家
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,58.093,1,25,16777215,2024-01-26 20:26:35,0,8d8e47f2,1503077458302593024,21：9好评！！！！！！！！！！！！！！！
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,48.872,5,25,16707842,2024-01-26 21:57:04,0,79c1d00a,1503122998444779264,《天穹流萤》
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,39.479,5,25,15138834,2024-01-26 20:02:42,0,fb95e576,1503065433534889472,有种初恋的感觉
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,9.254,5,25,16777215,2024-01-26 20:03:25,0,d0c21b39,1503065794597538304,海澜之家，男人的衣柜（）
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,69.796,5,25,16776960,2024-01-26 20:39:35,0,1461b924,1503083998296087040,伴奏和声都是张杰自己的声音，好牛
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,64.846,5,25,10546688,2024-01-27 13:36:25,0,5b20aa7d,1503595785659563520,三月七：看好了，巨人之力是这么用的！
《崩坏：星穹铁道》OP：「不眠之夜」,BV1me411n7eu,80.189,5,25,16707842,2024-01-26 20:07:48,0,8f72c343,1503067997412489728,爷终于会跳了(喜）
