视频标题,视频BV号,弹幕出现时间,类型,字体大小,颜色,发送时间,弹幕池,用户哈希,弹幕ID,弹幕内容
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,71.619,5,25,16707842,2024-10-21 12:18:50,0,3cbc9e1b,1697796632408084736,米哈游工作人员的精神状态越来越好了
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,8.939,5,25,16707842,2024-10-21 12:01:19,0,227cdea3,1697787820796109568,蕉蕉~蕉蕉~蕉蕉~蕉蕉~
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,92.089,1,25,16777215,2024-10-21 12:56:53,0,4be4d9f6,1697815784808072448,ZZZ启动
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,97.809,1,25,16777215,2024-10-21 12:26:40,0,37dcefaa,1697800575204345856,好帅的捷风
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,77.45,1,25,6830715,2024-10-21 12:08:12,0,7cbb0727,1697791280979527424,染上，你的颜色
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,112.505,1,25,16777215,2024-10-21 12:04:44,0,5047b331,1697789534882384384,捷风既视感
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,126.991,5,25,16707842,2024-10-21 12:06:14,0,fa26b96a,1697790290561169920,logo（炫彩版
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,47.903,5,25,15772458,2024-10-21 12:09:26,0,8e90eceb,1697791901241018368,原来这里是角色立绘(惊)转的也太丝滑了吧!
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,71.209,5,25,16707842,2024-10-21 12:13:46,0,f5539d51,1697794085559642112,制作组的精神状况还是一如既往的让人安心
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,11.079,1,25,16777215,2024-10-21 12:18:22,0,f6fd366c,1697796397879297792,一种很未见的风格
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,0.0,5,25,16777215,2024-10-21 12:12:52,0,36c2c096,1697793626551757056,乱破大人ᐠ( ᑒ )ᐟ 乱破大人ᐠ( ᑒ )ᐟ
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,45.686,5,25,16777215,2024-10-21 12:19:26,0,e22d63f5,1697796933894713088,我看的是中配没错啊
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,86.691,5,25,16707842,2024-10-21 12:04:53,0,90b065e4,1697789613768444928,记忆是梦的开场白~~
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,53.399,5,25,16777215,2024-10-21 12:02:03,0,7c44d3db,1697788182738823936,阿卡丽（确信）
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,0.127,5,25,16777215,2024-10-21 12:03:49,0,5a8d5b71,1697789078868817408,星穹铁道又换头像啦！
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,1.066,5,25,16777215,2024-10-21 12:01:31,0,d33c2264,1697787917121968640,明明是不香不蕉
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,18.73,4,25,9033215,2024-10-21 13:30:27,0,9a64287b,1697832680806712576,早八！！！！
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,117.52,1,25,16777215,2024-10-21 12:02:20,0,e0dfd612,1697788329674183680,米哈游，我要这个！
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,120.156,1,25,16777215,2024-10-21 12:04:57,0,dce71b8a,1697789646643845632,乱破在打瓦
《崩坏：星穹铁道》乱破角色PV——「不乱不破」,BV1yyC1YQEpk,100.419,1,25,16777215,2024-10-21 12:05:10,0,67364f2b,1697789751056202496,大招完全版
