视频标题,视频BV号,弹幕出现时间,类型,字体大小,颜色,发送时间,弹幕池,用户哈希,弹幕ID,弹幕内容
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,149.947,5,25,16707842,2024-10-18 12:34:55,0,afb5732e,1695630400363874560,匹诺康尼·超级高·大楼
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,147.145,5,25,16707842,2024-10-18 12:03:40,0,82860280,1695614668661651968,相原龙:你看看你都守护了些什么
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,153.331,1,25,16777215,2024-10-18 12:27:42,0,25ccedb7,1695626772516781312,这是匹洛康尼，空间站是飞船样式。
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,57.892,5,25,16776960,2024-10-18 12:03:13,0,b102afc1,1695614448913985536,乱破：听不懂思密达
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,124.116,1,25,16777215,2024-10-18 12:03:53,0,4afa1025,1695614778259183104,好湿好湿
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,42.391,5,25,16777215,2024-10-18 12:04:04,0,1a768318,1695614873528142592,《英雄形态的宵宫姐姐》（不是）
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,117.181,1,25,16777215,2024-10-18 12:03:14,0,82a9c86f,1695614455532259072,诵读俳句吧！
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,56.824,1,25,16777215,2024-10-18 12:02:30,0,aa005ead,1695614083421745408,有吊带袜天使的感觉
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,7.971,5,25,6830715,2024-10-18 12:00:55,0,1b9a702c,1695613286034352384,天守阁!
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,40.892,1,25,16777215,2024-10-18 12:02:28,0,d01d1c17,1695614067307797504,我趣，吊带袜天使
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,81.476,5,25,16777215,2024-10-18 12:05:12,0,eefb30a0,1695615444675342848,协议通过，执行蕉土作战
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,11.481,5,25,16707842,2024-10-18 12:01:05,0,e915ca5c,1695613373611305216,伍六七（幻视）
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,15.351,5,25,16777215,2024-10-18 12:01:18,0,4f1aebc6,1695613479349677056,占领空屏
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,22.819,1,25,16777215,2024-10-18 12:01:17,0,46024a4c,1695613473494946048,大香蕉～
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,160.584,5,25,16777215,2024-10-18 12:10:42,0,ac53c95d,1695618212009880576,还有后续？
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,34.553,5,25,16707842,2024-10-18 12:14:06,0,b585b1d8,1695619921071014400,忍者形态的宵宫姐姐登场！（）
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,8.029,5,25,16777215,2024-10-18 12:08:26,0,aebba8c2,1695617073516074752,我嘞个叼带袜天使
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,139.403,5,25,16777215,2024-10-18 12:17:37,0,342c3433,1695621696352435712,看得出来，确实强的乱七八糟
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,134.875,5,25,15138834,2024-10-18 12:02:42,0,69ee05b3,1695614183632624640,撒由那拉！
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,0.0,5,25,16777215,2024-10-18 12:04:55,0,ca82c7a8,1695615305315011840,一股子扳机社的味道
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,58.879,1,25,16777215,2024-10-18 12:02:24,0,c5d459f1,1695614032570518272,撒由那拉
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,64.893,5,25,16707842,2024-10-18 12:16:20,0,a902d23a,1695621044348018176,就让这一根香蕉，照彻万川！
《崩坏：星穹铁道》动画短片：「银河忍法帖•乱武驱魔破邪斩月之卷」,BV13pyPYSEar,67.329,1,25,16777215,2024-10-18 12:02:30,0,205c9365,1695614082599709696,果宝机甲-香蕉尊～～归位！
