视频标题,视频BV号,弹幕出现时间,类型,字体大小,颜色,发送时间,弹幕池,用户哈希,弹幕ID,弹幕内容
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,105.649,1,25,16777215,2024-05-07 12:02:15,0,7311a0d9,1576750741090341120,新歌发布会是吧
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,97.687,5,25,16777215,2024-05-07 12:05:59,0,b684cc82,1576752615004782080,跟你定下约定的小樱命令你，封印解除！
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,75.75,1,25,16777215,2024-05-07 12:03:37,0,83df0154,1576751425021784064,空中劈叉
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,0.179,5,25,16777215,2024-05-07 12:00:31,0,58318889,1576749870159532032,米哈游：年轻人的准点计时器
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,21.459,1,25,16777215,2024-05-07 12:01:05,0,818e1f7b,1576750150003937536,宇宙大明星
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,92.313,1,25,16777215,2024-05-07 12:04:50,0,552026c1,1576752040687151360,悠久之翼
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,3.09,5,25,16777215,2024-05-07 12:01:38,0,98bc3967,1576750428572692992,《 孤 独 摇 滚 》
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,75.597,5,25,16777215,2024-05-07 13:04:13,0,16974bf4,1576781931620684800,好一个空中劈叉，舰长我教的好啊
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,121.618,5,25,16707842,2024-05-07 12:04:07,0,6478d3b1,1576751680949907968,很好，已经被拉条了
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,117.88,1,25,16777215,2024-05-07 12:04:09,0,9cc80d45,1576751694883322880,光翼展开
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,27.411,5,25,38979,2024-05-07 13:18:35,0,95b65bd3,1576789158306022656,看了好几遍才反应过来这里是三转二…
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,27.985,5,25,16777215,2024-05-07 12:06:58,0,416ce3ad,1576753117716921600,《玛丽莲·梦露》
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,29.379,1,25,16777215,2024-05-07 12:01:04,0,5b1d6e3a,1576750147470538240,知更鸟梦露是吧
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,9.087,1,25,16777215,2024-05-07 12:53:34,0,b64f6993,1576776564287290624,周天哥专业擦环30年
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,39.027,5,25,9487136,2024-05-07 13:15:48,0,9c05decc,1576787760293996288,小 吉 祥 鸟 王（doge
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,13.758,4,25,41194,2024-05-07 13:00:09,0,83209384,1576779882795689984,导演:星期日     摄影:星期日
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,12.009,1,25,16777215,2024-05-07 12:03:37,0,765c675d,1576751430742916352,孤独摇滚
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,40.117,1,25,16777215,2024-05-07 12:42:59,0,89dcb90e,1576771239048133632,好漫长，好孤独，还要多久
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,58.606,1,25,16777215,2024-05-07 12:04:22,0,f91d5d31,1576751802953512704,我知道为什么只单独搞个英文字幕了。。减少这一句的空耳影响哈哈哈
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,49.197,5,25,9033215,2024-05-07 13:21:10,0,ff3b5d14,1576790455906281472,非常好歌曲，这使我全队拉条
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,BV1Am411y7iK,1.059,1,25,16777215,2024-05-07 12:00:46,0,3613ac70,1576749994571196928,孤独摇滚（幻视）
