视频标题,视频BV号,弹幕出现时间,类型,字体大小,颜色,发送时间,弹幕池,用户哈希,弹幕ID,弹幕内容
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,92.562,1,25,16777215,2024-10-22 18:03:19,0,f29b3dc6,1698694797629410304,《别闹～》
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,367.847,5,25,6830715,2024-10-22 18:08:25,0,6e9396b,1698697359401777664,黄泉：我不打回合制
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,342.543,5,25,16777215,2024-10-22 18:11:38,0,8e399548,1698698976641420288,相应的，这么高伤害，怪的血量也是很逆天
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,169.541,1,25,16777215,2024-10-22 18:16:11,0,4ece2225,1698701271109820416,我寰宇蝗灾都还没玩明白呢，黄金都没碰过，看着这个估计也不会玩了(doge
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,68.389,1,25,15138834,2024-10-22 18:05:33,0,b3efc24b,1698695917181875200,不如吃过再走（椒丘色）
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,162.345,5,25,14811775,2024-10-22 18:08:49,0,66a1104a,1698697563470851840,“银河球棒侠”常驻模式，选择你的权杖（欠账），交给艾丝妲付账
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,117.875,5,25,16777215,2024-10-22 18:06:47,0,298be644,1698696538467389440,帝皇：我有这么高速运转的权杖进入宇宙
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,345.439,5,25,16777215,2024-10-22 18:09:43,0,d164af3c,1698698016816429824,声势浩大的刮痧（
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,144.974,1,25,16777215,2024-10-22 18:04:14,0,4afbfe12,1698695255824041216,好机会！
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,199.407,5,25,16777215,2024-10-22 18:09:21,0,e2cef0d9,1698697828953670656,黑塔开秘技啦！（错误
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,12.499,5,25,16777215,2024-10-22 18:04:26,0,295ab2d8,1698695356629983232,黑塔：小灰毛你为什么穿着我的衣服
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,121.903,1,25,16777215,2024-10-22 18:04:34,0,a538302e,1698695422698695424,天体计算机？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,26.955,5,25,16777215,2024-10-22 18:03:05,0,d1e3a07e,1698694676808827904,黄泉日常迷路
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,293.379,5,25,15138834,2024-10-22 18:10:00,0,9f877f32,1698698160102320640,叽米你怎么变聪明了
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,64.459,5,25,6830715,2024-10-22 18:03:15,0,8e462793,1698694757263582208,埋藏在记忆深处的恐惧-黄泉
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,139.127,1,25,15138834,2024-10-22 18:07:09,0,dbebe8f9,1698696725382468096,夜魂加持(bushi）
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,59.691,1,25,16777215,2024-10-22 18:04:17,0,13328764,1698695276770426112,懂了，黄泉用秘技赶路呢（
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,60.827,5,25,15138834,2024-10-22 18:06:10,0,2a198625,1698696231913683968,谁家黄泉又在电焊
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,178.451,5,25,16646914,2024-10-22 18:19:27,0,263a3388,1698702916519022592,寰宇蝗灾自从黄金与机械出来之后就一次也没打过了
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,340.049,5,25,16707842,2024-10-22 18:13:17,0,c248498b,1698699805829908224,桌下老头发力了(bushi)
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,43.431,1,25,41194,2024-10-22 18:12:52,0,133b1652,1698699604217897728,黄泉桃离了
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,298.217,1,25,16777215,2024-10-22 18:12:55,0,96d71059,1698699625735244032,银狼是吧！
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,175.167,5,25,16777215,2024-10-22 18:15:21,0,a992dbaf,1698700852762147840,OKR，最喜欢的xxx啊，星穹铁道最喜欢的角色啊，全程单通，模拟宇宙，不可知域，第一把，启动！
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,322.013,5,25,16777215,2024-10-22 18:10:26,0,179c41e3,1698698378239652096,芜湖~（雪鸮叫）
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,101.142,1,25,16777215,2024-10-22 18:09:17,0,200adcd5,1698697798536689152,这不爱莉的法杖吗？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,202.483,5,25,16777215,2024-10-22 18:07:28,0,d164af3c,1698696882701972224,“鸣徽”
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,47.165,5,25,16707842,2024-10-22 18:06:33,0,2606aee5,1698696421974914816,花小烙式叠buff
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,242.089,5,25,16777215,2024-10-22 18:09:23,0,298be644,1698697849212657664,权杖：你只管活着，办法我来想
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,74.019,1,25,16777215,2024-10-22 18:02:52,0,dba3de9e,1698694568494758912,黄泉怎么在开头？难不成这个新的模拟宇宙dlc有黄泉的大瓜
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,75.197,5,25,15138834,2024-10-22 18:17:28,0,da71ec9b,1698701911874261760,莱欧斯利，出来！
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,133.756,5,25,16707842,2024-10-22 22:00:49,0,c966004,1698814335276684032,星宝太可爱了啊啊啊啊啊我要亲死你宝宝宝宝
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,23.355,5,25,16777215,2024-10-22 18:16:15,0,a1123933,1698701303515103232,看来是秘技赶路还迷路了
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,214.183,5,25,15138834,2024-10-22 18:05:01,0,9487ba94,1698695648427191296,叽米：让我们说中文
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,26.449,5,25,16777215,2024-10-22 18:29:03,0,5903389a,1698707745479879680,强大，无需多言
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,150.898,1,25,16777215,2024-10-22 18:03:22,0,5f4ac398,1698694820103102464,《她在发光》
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,25.254,5,25,6830715,2024-10-23 00:14:16,0,ed0a3d2,1698881501452097792,呆萌呆萌的，可爱捏
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,300.315,5,25,9033215,2024-10-22 18:15:11,0,53e743c2,1698700764790351104,大黑塔本体的声音？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,246.782,1,25,16777215,2024-10-22 18:06:41,0,ea97b754,1698696488941060352,玩卡芙卡
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,64.403,5,25,16777215,2024-10-22 18:02:53,0,39a12e42,1698694571531442688,叽米，咱要不换个工作，这风险也太高了
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,87.399,5,25,16707842,2024-10-22 20:54:47,0,e3cdc6eb,1698781097061740032,1999进场时的风铃声
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,371.912,5,25,16777215,2024-10-22 18:10:59,0,283207c0,1698698654803614976,穹宝探头可爱捏
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,97.756,5,25,16707842,2024-10-22 18:24:12,0,2aa3cc45,1698705303446734336,开大充能！是【救世】之铭
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,78.534,5,25,16777215,2024-10-22 20:43:02,0,8bb39fb8,1698775180408610816,莱欧斯利，出来！
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,182.338,5,25,15138834,2024-10-22 18:10:24,0,d83ff549,1698698359742706176,我想要“纯美”女神伊徳莉拉
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,127.638,1,25,16777215,2024-10-22 18:06:36,0,3098b419,1698696447131742976,星：什么，在想我的事？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,142.873,1,25,16707842,2024-10-22 19:56:01,0,db1c9521,1698751516691172352,怎么黑塔也有妨沉迷
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,267.498,5,25,16707842,2024-10-22 18:11:09,0,c248498b,1698698735183258624,假面骑士欧兹(有端联想)
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,217.597,4,25,41194,2024-10-22 18:07:22,0,2f086276,1698696831850096640,好人机啊螺丝咕姆
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,220.184,5,25,16777215,2024-10-22 18:06:06,0,24b610aa,1698696196874493440,无视风险，继续安装（）
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,81.122,1,25,16777215,2024-10-22 18:02:32,0,4312903,1698694397191365632,青總後繼有鳥了
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,50.954,1,25,16777215,2024-10-22 18:02:18,0,2d1bd18e,1698694284121281024,黄焖叽米饭
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,37.189,1,25,16777215,2024-10-22 18:02:13,0,6edce999,1698694242756705536,可爱捏
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,18.269,5,25,15138834,2024-10-22 18:01:39,0,2ba94cfb,1698693952166817280,《似曾相识的开场》
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,2.6,1,25,16777215,2024-11-26 17:38:54,0,4483253e,1724049653139394304,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,3.651,1,25,16777215,2024-11-26 17:31:09,0,c888f6b1,1724045758208081664,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,5.621,1,25,16777215,2024-11-26 16:10:36,0,168d78eb,1724005209933549824,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,5.048,1,25,16777215,2024-11-26 12:26:49,0,47b3ecaf,1723892576823724544,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,4.763,1,25,16777215,2024-11-26 10:12:11,0,3816cc46,1723824819059475968,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,1.783,1,25,16777215,2024-11-26 07:41:15,0,cdea9dc4,1723748851372029952,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,25.213,1,25,16777215,2024-11-26 01:33:36,0,41d618e1,1723563800164186368,？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,23.667,1,25,16777215,2024-11-25 23:49:02,0,cdea9dc4,1723511171044353536,？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,8.574,1,25,16777215,2024-11-25 23:00:07,0,5db8e1da,1723486548760100352,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,4.207,1,25,16777215,2024-11-25 22:00:38,0,45a7bf82,1723456615564786944,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,15.829,1,25,16777215,2024-11-25 20:17:17,0,dc03e3d2,1723404597311717120,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,5.001,1,25,16777215,2024-11-25 20:17:06,0,dc03e3d2,1723404505976512768,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,24.733,1,25,16777215,2024-11-25 19:14:02,0,c9a75b06,1723372761663428352,？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,15.161,1,25,16777215,2024-11-25 19:13:54,0,c9a75b06,1723372692583332096,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,2.615,1,25,16777215,2024-11-25 19:13:46,0,c9a75b06,1723372629559827200,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,19.622,1,25,16777215,2024-11-25 18:12:31,0,5711c60b,1723341799705311488,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,21.784,1,25,16777215,2024-11-25 18:08:32,0,da91a301,1723339793209303040,？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,11.55,1,25,16777215,2024-11-25 18:08:22,0,da91a301,1723339707511337472,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,2.137,1,25,16777215,2024-11-25 18:08:12,0,da91a301,1723339628431841536,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,16.235,1,25,16777215,2024-11-25 17:50:09,0,80256965,1723330545087384832,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,15.998,1,25,16777215,2024-11-25 16:30:28,0,d5a803f9,1723290432600924928,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,2.071,1,25,16777215,2024-11-25 16:30:14,0,d5a803f9,1723290315495889408,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,2.58,1,25,16777215,2024-11-25 14:03:54,0,82665e10,1723216668064357120,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,9.777,1,25,16777215,2024-11-25 11:55:02,0,f6fc2569,1723151806819306240,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,19.994,1,25,16777215,2024-11-25 09:43:09,0,40f527ff,1723085428435223040,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,4.883,1,25,16777215,2024-11-25 09:42:54,0,40f527ff,1723085300903358720,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,12.034,1,25,16777215,2024-11-24 23:56:49,0,b71df784,1722790318162236416,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,2.468,1,25,16777215,2024-11-24 23:56:40,0,b71df784,1722790236113259520,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,7.313,1,25,16777215,2024-11-24 23:01:16,0,3d365033,1722762351968569856,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,7.244,1,25,16777215,2024-11-24 20:32:01,0,6aff9208,1722687233225559040,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,18.549,1,25,16777215,2024-11-24 19:41:00,0,a55e0ba,1722661556334100992,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,8.624,1,25,16777215,2024-11-24 19:40:59,0,d439dca,1722661548289734144,啊？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,357.707,1,25,4465254,2024-11-24 19:38:38,0,2b14aca8,1722660370386177536,她真好看
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,26.905,1,25,16777215,2024-11-24 18:44:19,0,f7f0aafb,1722633032819114496,？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,27.096,1,25,16777215,2024-11-24 18:15:21,0,ab162cef,1722618446103139840,？
《崩坏：星穹铁道》走近星穹——「不可知域」特别节目,BV1EBynYCEhs,18.697,1,25,16777215,2024-11-24 18:15:12,0,ab162cef,1722618375814937344,啊？
